Date,Open,High,Low,Close,Volume
,GILD,GILD,GILD,GILD,GILD
2007-01-03,11.200701090763214,11.348259454037521,10.62419430146981,10.835237503051758,33461200
2007-01-04,10.83009180091316,11.089176413051334,10.71856558098915,11.01368236541748,18666400
2007-01-05,11.018827938583895,11.121775304265691,10.955343097040844,11.017111778259277,14022000
2007-01-08,10.977647603032445,11.039415624120112,10.897005092704386,11.020543098449707,12984000
2007-01-09,11.144082282447995,11.240167643291235,11.070303082948183,11.154377937316895,20593600
2007-01-10,11.092607759579169,11.147513111691946,10.989660387998564,11.099471092224121,12706800
2007-01-11,11.150945132187278,11.367135548395575,11.10290310837365,11.365419387817383,17697600
2007-01-12,11.289925416292958,11.408314316048994,11.288209255703167,11.351694107055664,15242800
2007-01-16,11.353409210147744,11.406599717233954,11.298503851480728,11.384293556213379,14289600
2007-01-17,11.365419976450578,11.42547250932783,11.264188750892789,11.391157150268555,18442800
2007-01-18,11.444345834152742,11.492389167338052,11.198987231691714,11.351694107055664,14631200
2007-01-19,11.301933505202149,11.446059546793148,11.217858671894032,11.252175331115723,12762000
2007-01-22,11.238446684662934,11.269331017990279,11.001667668517603,11.023972511291504,15188000
2007-01-23,11.025694145774201,11.09089385559585,10.886714576793942,10.953630447387695,13597200
2007-01-24,10.917593504565781,11.068583505885773,10.917593504565781,11.023972511291504,12464800
2007-01-25,10.999956105761147,11.023977118494026,10.842102707836712,10.879850387573242,15518800
2007-01-26,10.886711415786305,10.927890099030549,10.70655320391516,10.763174057006836,23048000
2007-01-29,10.749445890117237,10.974214406147876,10.711698225949485,10.842098236083984,15867600
2007-01-30,10.852397622380439,10.917597981085827,10.795776103222824,10.890145301818848,12757600
2007-01-31,10.998239223071257,11.207566299469693,10.828375984455695,11.03598690032959,24699600
2007-02-01,11.984820708599914,12.339990010693974,11.926484341524553,12.27307415008545,74481200
2007-02-02,12.18213649610088,12.33655820645237,12.051735795243305,12.12551498413086,28588000
2007-02-05,12.122089161285066,12.154688368668578,12.001982753356515,12.013993263244629,18828800
2007-02-06,12.00884010424708,12.087766459756967,11.953934756542516,12.067177772521973,18983200
2007-02-07,12.202729340162234,12.568193049034175,12.170128830081941,12.3948974609375,31304000
2007-02-08,12.364011285394904,12.444653813757434,12.281653905526708,12.381170272827148,13833600
2007-02-09,12.262779149923427,12.400041875792095,12.149536124761095,12.209589958190918,19386800
2007-02-12,12.190715171835828,12.261062035195826,12.05173498731309,12.149535179138184,10948000
2007-02-13,12.176987528754761,12.26277720974185,12.084334516203109,12.108355522155762,14736800
2007-02-14,12.171840002899312,12.30910270305358,12.098060827036997,12.305671691894531,16182000
2007-02-15,12.271355226248337,12.400039745986476,12.231892706594753,12.386314392089844,14607200
2007-02-16,12.382884649065565,12.439506163706103,12.281653434144813,12.36401081085205,13825200
2007-02-20,12.478972175038383,12.518434709781467,12.281655574181572,12.472108840942383,14271600
2007-02-21,12.49784486794571,12.75864633075344,12.49784486794571,12.73634147644043,21812000
2007-02-22,12.731191498749773,12.825560696388822,12.542454412518667,12.707170486450195,13809200
2007-02-23,12.731191590821915,12.775802603578184,12.508139145134578,12.633391380310059,9770800
2007-02-26,12.772371644920662,12.863308522386006,12.525296876677462,12.705455780029297,12863600
2007-02-27,12.593927886010796,12.593927886010796,12.010557679756118,12.110074043273926,30714000
2007-02-28,11.933349341499774,12.365728909603302,11.933349341499774,12.278223037719727,27783600
2007-03-01,12.053453333372243,12.283369110249884,11.85613675364999,12.11178970336914,30936800
2007-03-02,12.070609116020256,12.267925664745093,11.969377910206074,12.086051940917969,18421600
2007-03-05,11.967664727042843,12.252487196917944,11.895601683717976,12.008843421936035,17417200
2007-03-06,12.070609394984402,12.21988393022719,11.940208696693466,12.13409423828125,17934400
2007-03-07,12.070609768552504,12.128947441585554,12.003693911487467,12.022567749023438,15337200
2007-03-08,12.116936479735214,12.176989001881779,11.97624143825749,12.020851135253906,12599200
2007-03-09,12.14267461830227,12.173558965350756,11.967664191058885,12.055170059204102,11760800
2007-03-12,11.984821463979687,12.180421885632441,11.94364277232832,12.151253700256348,12385600
2007-03-13,12.025997801718194,12.142671829432343,11.809808731079102,11.809808731079102,16384800
